REKENING LAMA,REKENING BARU,NAMA REKENING BELANJA DAERAH,KODE KOMPONEN,TA,B1,B2,JENIS,FORMULIR
5.2.02.13.01.0002,5.2.02.13.001.00002,Belanja Modal Sumur Pemboran,1.3.02.13.01.0002,2026,,,SSH,5.2.02.13.001.00002 - Belanja Modal Sumur Pemboran
5.2.02.13.01.0003,5.2.02.13.001.00003,Belanja Modal Sumur Lainnya,1.3.02.13.01.0003,2026,,,SSH,5.2.02.13.001.00003 - Belanja Modal Sumur Lainnya
5.2.02.13.02,5.2.02.13.002,Belanja Modal Produksi,,2026,,,,5.2.02.13.002 - Belanja Modal Produksi
5.2.02.13.02.0001,5.2.02.13.002.00001,Belanja Modal RIG,1.3.02.13.02.0001,2026,,,SSH,5.2.02.13.002.00001 - Belanja Modal RIG
5.2.02.13.02.0002,5.2.02.13.002.00002,Belanja Modal Produksi Lainnya,1.3.02.13.02.0002,2026,,,SSH,5.2.02.13.002.00002 - Belanja Modal Produksi Lainnya
5.2.02.13.03,5.2.02.13.003,Belanja Modal Pengolahan dan Pemurnian,,2026,,,,5.2.02.13.003 - Belanja Modal Pengolahan dan Pemurnian
5.2.02.13.03.0001,5.2.02.13.003.00001,Belanja Modal Alat Pengolahan Minyak,1.3.02.13.03.0001,2026,,,SSH,5.2.02.13.003.00001 - Belanja Modal Alat Pengolahan Minyak
5.2.02.13.03.0002,5.2.02.13.003.00002,Belanja Modal Alat Pengolahan Air,1.3.02.13.03.0002,2026,#REF!,,SSH,5.2.02.13.003.00002 - Belanja Modal Alat Pengolahan Air
5.2.02.13.03.0003,5.2.02.13.003.00003,Belanja Modal Alat Pengolahan Steam,1.3.02.13.03.0003,2026,,,SSH,5.2.02.13.003.00003 - Belanja Modal Alat Pengolahan Steam
5.2.02.13.03.0004,5.2.02.13.003.00004,Belanja Modal Alat Pengolahan Wax,1.3.02.13.03.0004,2026,,,SSH,5.2.02.13.003.00004 - Belanja Modal Alat Pengolahan Wax
5.2.02.13.03.0005,5.2.02.13.003.00005,Belanja Modal Pengolahan dan Pemurnian Lainnya,1.3.02.13.03.0005,2026,,,SSH,5.2.02.13.003.00005 - Belanja Modal Pengolahan dan Pemurnian Lainnya
0,5.2.02.14,Belanja Modal Alat Bantu Eksplorasi,,2026,,,,5.2.02.14 - Belanja Modal Alat Bantu Eksplorasi
5.2.02.14.01,5.2.02.14.001,Belanja Modal Alat Bantu Eksplorasi,,2026,,,,5.2.02.14.001 - Belanja Modal Alat Bantu Eksplorasi
5.2.02.14.01.0001,5.2.02.14.001.00001,Belanja Modal Mekanik,1.3.02.14.01.0001,2026,,,SSH,5.2.02.14.001.00001 - Belanja Modal Mekanik
5.2.02.14.01.0002,5.2.02.14.001.00002,Belanja Modal Elektrik,1.3.02.14.01.0002,2026,#REF!,,SSH,5.2.02.14.001.00002 - Belanja Modal Elektrik
5.2.02.14.01.0003,5.2.02.14.001.00003,Belanja Modal Alat Bantu Ekplorasi Lainnya,1.3.02.14.01.0003,2026,,,SSH,5.2.02.14.001.00003 - Belanja Modal Alat Bantu Ekplorasi Lainnya
5.2.02.14.02,5.2.02.14.002,Belanja Modal Alat Bantu Produksi,,2026,,,,5.2.02.14.002 - Belanja Modal Alat Bantu Produksi
5.2.02.14.02.0001,5.2.02.14.002.00001,Belanja Modal Perawatan Sumur,1.3.02.14.02.0001,2026,,,SSH,5.2.02.14.002.00001 - Belanja Modal Perawatan Sumur
5.2.02.14.02.0002,5.2.02.14.002.00002,Belanja Modal Tes Unit,1.3.02.14.02.0002,2026,,,SSH,5.2.02.14.002.00002 - Belanja Modal Tes Unit
5.2.02.14.02.0003,5.2.02.14.002.00003,Belanja Modal Alat Bantu Produksi Lainnya,1.3.02.14.02.0003,2026,,,SSH,5.2.02.14.002.00003 - Belanja Modal Alat Bantu Produksi Lainnya
0,5.2.02.15,Belanja Modal Alat Keselamatan Kerja,,2026,,,,5.2.02.15 - Belanja Modal Alat Keselamatan Kerja
5.2.02.15.01,5.2.02.15.001,Belanja Modal Alat Deteksi,,2026,,,,5.2.02.15.001 - Belanja Modal Alat Deteksi
5.2.02.15.01.0001,5.2.02.15.001.00001,Belanja Modal Radiasi,1.3.02.15.01.0001,2026,,,SSH,5.2.02.15.001.00001 - Belanja Modal Radiasi
5.2.02.15.01.0002,5.2.02.15.001.00002,Belanja Modal Suara,1.3.02.15.01.0002,2026,,,SSH,5.2.02.15.001.00002 - Belanja Modal Suara
5.2.02.15.01.0003,5.2.02.15.001.00003,Belanja Modal Alat Deteksi Lainnya,1.3.02.15.01.0003,2026,#REF!,,SSH,5.2.02.15.001.00003 - Belanja Modal Alat Deteksi Lainnya
5.2.02.15.02,5.2.02.15.002,Belanja Modal Alat Pelindung,,2026,,,,5.2.02.15.002 - Belanja Modal Alat Pelindung
5.2.02.15.02.0001,5.2.02.15.002.00001,Belanja Modal Baju Pengaman,1.3.02.15.02.0001,2026,,,SSH,5.2.02.15.002.00001 - Belanja Modal Baju Pengaman
